i;j;C;gamma;accuracy;time_ms
1.0;1.0;0.125;1.220703125E-4;0.6378492356352135;4484582.0
5.0;9.0;32.0;8.0;0.4728518713758566;5044726.0
10.0;9.0;32768.0;8.0;0.47302758741873135;5044594.0
9.0;7.0;8192.0;0.5;0.5060622034791776;4940044.0
7.0;2.0;512.0;4.8828125E-4;0.7054999121419786;4250905.0
0.0;2.0;0.03125;4.8828125E-4;0.6371463714637147;4499112.0
4.0;8.0;8.0;2.0;0.47399402565454224;4991649.0
9.0;6.0;8192.0;0.125;0.6222105078193639;4832494.0
5.0;8.0;32.0;2.0;0.47381830961166754;5108567.0
7.0;4.0;512.0;0.0078125;0.6711474257599719;6922402.0
4.0;6.0;8.0;0.125;0.6215955016693024;4899040.0
2.0;1.0;0.5;1.220703125E-4;0.6447021613073274;4179078.0
9.0;9.0;8192.0;8.0;0.47364259356879285;5179412.0
0.0;8.0;0.03125;2.0;0.4739061676331049;5498090.0
9.0;8.0;8192.0;2.0;0.4732911614830434;5084545.0
8.0;2.0;2048.0;4.8828125E-4;0.699701282727113;6629185.0
8.0;8.0;2048.0;2.0;0.47320330346160605;5077818.0
1.0;4.0;0.125;0.0078125;0.649534352486382;3763073.0
4.0;9.0;8.0;8.0;0.4734668775259181;5159278.0
6.0;8.0;128.0;2.0;0.4735547355473555;5054925.0
9.0;3.0;8192.0;0.001953125;0.6782639254963978;8179846.0
5.0;7.0;32.0;0.5;0.5069407836935512;4951554.0
3.0;8.0;2.0;2.0;0.47364259356879285;5029655.0
3.0;1.0;2.0;1.220703125E-4;0.653224389386751;3783253.0
6.0;2.0;128.0;4.8828125E-4;0.6918819188191881;3500312.0
9.0;0.0;8192.0;3.0517578125E-5;0.708311368827974;4437194.0
5.0;4.0;32.0;0.0078125;0.6873133017044456;4074950.0
2.0;9.0;0.5;8.0;0.47302758741873135;5063587.0
2.0;2.0;0.5;4.8828125E-4;0.6538393955368125;3739404.0
8.0;9.0;2048.0;8.0;0.4728518713758566;5100852.0
7.0;5.0;512.0;0.03125;0.6416271305570198;5156786.0
1.0;6.0;0.125;0.125;0.627394131084168;5137923.0
8.0;0.0;2048.0;3.0517578125E-5;0.6923212089263749;3484409.0
8.0;3.0;2048.0;0.001953125;0.6771217712177122;7856478.0
9.0;1.0;8192.0;1.220703125E-4;0.6964505359339308;6906846.0
1.0;8.0;0.125;2.0;0.4734668775259181;5245963.0
2.0;3.0;0.5;0.001953125;0.6548058337726235;3404483.0
6.0;5.0;128.0;0.03125;0.6456685995431383;5156921.0
2.0;6.0;0.5;0.125;0.6379370936566509;5047578.0
6.0;6.0;128.0;0.125;0.6236162361623616;4703679.0
7.0;9.0;512.0;8.0;0.47337901950448075;4977283.0
2.0;7.0;0.5;0.5;0.5151115796872254;5148668.0
1.0;5.0;0.125;0.03125;0.6462836056931998;3772357.0
5.0;2.0;32.0;4.8828125E-4;0.6762431910033386;3108083.0
2.0;5.0;0.5;0.03125;0.655947988051309;3610598.0
0.0;5.0;0.03125;0.03125;0.6374978035494641;4132804.0
5.0;6.0;32.0;0.125;0.62001405728343;4607562.0
