i;j;C;gamma;accuracy;time_ms
1.0;4.0;128.0;9.765625E-4;0.6985591284484274;3688956.0
1.0;2.0;128.0;2.44140625E-4;0.6794060797750835;3414445.0
2.0;2.0;256.0;2.44140625E-4;0.6919697768406256;3539265.0
3.0;0.0;512.0;6.103515625E-5;0.6793182217536461;3451930.0
5.0;4.0;2048.0;9.765625E-4;0.6843261289755754;7645210.0
5.0;2.0;2048.0;2.44140625E-4;0.7013705851344227;5296263.0
3.0;3.0;512.0;4.8828125E-4;0.7071692145492884;4256166.0
0.0;0.0;64.0;6.103515625E-5;0.659374450887366;3539444.0
6.0;4.0;4096.0;9.765625E-4;0.6736074503602179;7918610.0
0.0;4.0;64.0;9.765625E-4;0.6921454928835002;3674392.0
4.0;5.0;1024.0;0.001953125;0.6845897030398875;7396783.0
0.0;2.0;64.0;2.44140625E-4;0.6729924442101564;3659308.0
3.0;4.0;512.0;9.765625E-4;0.7017220172201722;5147280.0
6.0;2.0;4096.0;2.44140625E-4;0.6918819188191881;6593963.0
4.0;0.0;1024.0;6.103515625E-5;0.6900369003690037;3826824.0
2.0;5.0;256.0;0.001953125;0.6987348444913021;4979394.0
0.0;6.0;64.0;0.00390625;0.6953962396766825;4287348.0
1.0;0.0;128.0;6.103515625E-5;0.6646459321736075;3713678.0
1.0;6.0;128.0;0.00390625;0.6923212089263749;5158826.0
6.0;6.0;4096.0;0.00390625;0.6754524688104024;6952577.0
3.0;1.0;512.0;1.220703125E-4;0.689861184326129;3704973.0
2.0;4.0;256.0;9.765625E-4;0.7018977332630469;4270841.0
3.0;2.0;512.0;2.44140625E-4;0.7010191530486733;3933074.0
0.0;3.0;64.0;4.8828125E-4;0.6820418204182042;3517562.0
5.0;5.0;2048.0;0.001953125;0.6760674749604639;7435778.0
4.0;6.0;1024.0;0.00390625;0.6744860305745914;6919960.0
1.0;5.0;128.0;0.001953125;0.7013705851344227;4385909.0
6.0;5.0;4096.0;0.001953125;0.6779124934106484;7380118.0
5.0;3.0;2048.0;4.8828125E-4;0.6935512212264979;6764418.0
6.0;0.0;4096.0;6.103515625E-5;0.7056756281848533;4785444.0
5.0;1.0;2048.0;1.220703125E-4;0.7054120541205412;4732185.0
4.0;1.0;1024.0;1.220703125E-4;0.701194869091548;4091047.0
1.0;3.0;128.0;4.8828125E-4;0.6910033386048147;3654000.0
2.0;1.0;256.0;1.220703125E-4;0.6784396415392725;3539853.0
5.0;6.0;2048.0;0.00390625;0.6795817958179582;6853736.0
1.0;1.0;128.0;1.220703125E-4;0.6735195923387806;3536689.0
4.0;3.0;1024.0;4.8828125E-4;0.700931295027236;5156688.0
2.0;3.0;256.0;4.8828125E-4;0.700667720962924;3870208.0
6.0;1.0;4096.0;1.220703125E-4;0.7029520295202952;5596207.0
5.0;0.0;2048.0;6.103515625E-5;0.7018098752416095;4071600.0
3.0;6.0;512.0;0.00390625;0.6818661043753295;6852680.0
2.0;6.0;256.0;0.00390625;0.6826568265682657;6652547.0
4.0;4.0;1024.0;9.765625E-4;0.6894218942189422;6607438.0
0.0;1.0;64.0;1.220703125E-4;0.6643823581092954;3649267.0
0.0;5.0;64.0;0.001953125;0.6976805482340538;3830307.0
4.0;2.0;1024.0;2.44140625E-4;0.7034791776489193;4136295.0
6.0;3.0;4096.0;4.8828125E-4;0.6818661043753295;6002878.0
3.0;5.0;512.0;0.001953125;0.6860832894043226;4736776.0
2.0;0.0;256.0;6.103515625E-5;0.672641012124407;2780307.0
