2015-03-03 22:53:30,200 12381    1425423210	ip-10-86-134-59.eu-west-1.compute.internal:6700	 83:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:53:30,246 12427    1425423210	ip-10-86-134-59.eu-west-1.compute.internal:6700	 76:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:53:30,250 12431    1425423210	ip-10-86-134-59.eu-west-1.compute.internal:6700	 90:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:53:30,375 12556    1425423210	ip-10-86-5-21.eu-west-1.compute.internal:6700	 82:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:53:30,375 12556    1425423210	ip-10-86-5-21.eu-west-1.compute.internal:6700	 75:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:53:30,376 12557    1425423210	ip-10-86-5-21.eu-west-1.compute.internal:6700	 89:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:53:30,426 12607    1425423210	ip-10-100-132-104.eu-west-1.compute.internal:6700	 80:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:53:30,427 12608    1425423210	ip-10-100-132-104.eu-west-1.compute.internal:6700	 73:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:53:30,427 12608    1425423210	ip-10-100-132-104.eu-west-1.compute.internal:6700	 87:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:53:31,006 13187    1425423211	ip-10-14-66-119.eu-west-1.compute.internal:6700	 92:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:53:31,006 13187    1425423211	ip-10-14-66-119.eu-west-1.compute.internal:6700	 85:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:53:31,006 13187    1425423211	ip-10-14-66-119.eu-west-1.compute.internal:6700	 78:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:53:31,016 13197    1425423211	ip-10-14-9-243.eu-west-1.compute.internal:6700	 88:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:53:31,050 13231    1425423211	ip-10-14-9-243.eu-west-1.compute.internal:6700	 74:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:53:31,051 13232    1425423211	ip-10-14-9-243.eu-west-1.compute.internal:6700	 81:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:53:31,358 13539    1425423211	ip-10-8-131-168.eu-west-1.compute.internal:6700	 91:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:53:31,390 13571    1425423211	ip-10-8-131-168.eu-west-1.compute.internal:6700	 84:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:53:31,390 13571    1425423211	ip-10-8-131-168.eu-west-1.compute.internal:6700	 77:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:53:40,180 22361    1425423220	ip-10-86-134-59.eu-west-1.compute.internal:6700	 83:support-vector-maschine-bolt	tuple_count            	5
2015-03-03 22:53:40,270 22451    1425423220	ip-10-86-134-59.eu-west-1.compute.internal:6700	 90:support-vector-maschine-bolt	tuple_count            	16
2015-03-03 22:53:40,270 22451    1425423220	ip-10-86-134-59.eu-west-1.compute.internal:6700	 76:support-vector-maschine-bolt	tuple_count            	19
2015-03-03 22:53:40,365 22546    1425423220	ip-10-86-5-21.eu-west-1.compute.internal:6700	 75:support-vector-maschine-bolt	tuple_count            	54
2015-03-03 22:53:40,366 22547    1425423220	ip-10-86-5-21.eu-west-1.compute.internal:6700	 89:support-vector-maschine-bolt	tuple_count            	54
2015-03-03 22:53:40,372 22553    1425423220	ip-10-86-5-21.eu-west-1.compute.internal:6700	 82:support-vector-maschine-bolt	tuple_count            	56
2015-03-03 22:53:40,420 22601    1425423220	ip-10-100-132-104.eu-west-1.compute.internal:6700	 80:support-vector-maschine-bolt	tuple_count            	73
2015-03-03 22:53:40,429 22610    1425423220	ip-10-100-132-104.eu-west-1.compute.internal:6700	 87:support-vector-maschine-bolt	tuple_count            	75
2015-03-03 22:53:40,434 22615    1425423220	ip-10-100-132-104.eu-west-1.compute.internal:6700	 73:support-vector-maschine-bolt	tuple_count            	76
2015-03-03 22:53:41,009 23190    1425423221	ip-10-14-66-119.eu-west-1.compute.internal:6700	 85:support-vector-maschine-bolt	tuple_count            	278
2015-03-03 22:53:41,010 23191    1425423221	ip-10-14-66-119.eu-west-1.compute.internal:6700	 92:support-vector-maschine-bolt	tuple_count            	276
2015-03-03 22:53:41,010 23191    1425423221	ip-10-14-66-119.eu-west-1.compute.internal:6700	 78:support-vector-maschine-bolt	tuple_count            	277
2015-03-03 22:53:41,186 23367    1425423221	ip-10-14-9-243.eu-west-1.compute.internal:6700	 88:support-vector-maschine-bolt	tuple_count            	278
2015-03-03 22:53:41,348 23529    1425423221	ip-10-8-131-168.eu-west-1.compute.internal:6700	 91:support-vector-maschine-bolt	tuple_count            	406
2015-03-03 22:53:41,383 23564    1425423221	ip-10-14-9-243.eu-west-1.compute.internal:6700	 81:support-vector-maschine-bolt	tuple_count            	306
2015-03-03 22:53:41,391 23572    1425423221	ip-10-8-131-168.eu-west-1.compute.internal:6700	 77:support-vector-maschine-bolt	tuple_count            	427
2015-03-03 22:53:41,392 23573    1425423221	ip-10-8-131-168.eu-west-1.compute.internal:6700	 84:support-vector-maschine-bolt	tuple_count            	428
2015-03-03 22:53:41,432 23613    1425423221	ip-10-14-9-243.eu-west-1.compute.internal:6700	 74:support-vector-maschine-bolt	tuple_count            	305
2015-03-03 22:53:50,191 32372    1425423230	ip-10-86-134-59.eu-west-1.compute.internal:6700	 83:support-vector-maschine-bolt	tuple_count            	7603
2015-03-03 22:53:50,271 32452    1425423230	ip-10-86-134-59.eu-west-1.compute.internal:6700	 90:support-vector-maschine-bolt	tuple_count            	7663
2015-03-03 22:53:50,286 32467    1425423230	ip-10-86-134-59.eu-west-1.compute.internal:6700	 76:support-vector-maschine-bolt	tuple_count            	7660
2015-03-03 22:53:50,387 32568    1425423230	ip-10-86-5-21.eu-west-1.compute.internal:6700	 89:support-vector-maschine-bolt	tuple_count            	7718
2015-03-03 22:53:50,393 32574    1425423230	ip-10-86-5-21.eu-west-1.compute.internal:6700	 75:support-vector-maschine-bolt	tuple_count            	7722
2015-03-03 22:53:50,396 32577    1425423230	ip-10-86-5-21.eu-west-1.compute.internal:6700	 82:support-vector-maschine-bolt	tuple_count            	7717
2015-03-03 22:53:50,430 32611    1425423230	ip-10-12-134-45.eu-west-1.compute.internal:6700	 86:support-vector-maschine-bolt	tuple_count            	7769
2015-03-03 22:53:50,435 32616    1425423230	ip-10-100-132-104.eu-west-1.compute.internal:6700	 80:support-vector-maschine-bolt	tuple_count            	7752
2015-03-03 22:53:50,437 32618    1425423230	ip-10-100-132-104.eu-west-1.compute.internal:6700	 73:support-vector-maschine-bolt	tuple_count            	7758
2015-03-03 22:53:50,446 32627    1425423230	ip-10-100-132-104.eu-west-1.compute.internal:6700	 87:support-vector-maschine-bolt	tuple_count            	7760
2015-03-03 22:53:50,452 32633    1425423230	ip-10-12-134-45.eu-west-1.compute.internal:6700	 79:support-vector-maschine-bolt	tuple_count            	7772
2015-03-03 22:53:50,458 32639    1425423230	ip-10-12-134-45.eu-west-1.compute.internal:6700	 72:support-vector-maschine-bolt	tuple_count            	7771
2015-03-03 22:53:51,009 33190    1425423231	ip-10-14-66-119.eu-west-1.compute.internal:6700	 92:support-vector-maschine-bolt	tuple_count            	8085
2015-03-03 22:53:51,011 33192    1425423231	ip-10-14-66-119.eu-west-1.compute.internal:6700	 85:support-vector-maschine-bolt	tuple_count            	8087
2015-03-03 22:53:51,017 33198    1425423231	ip-10-14-66-119.eu-west-1.compute.internal:6700	 78:support-vector-maschine-bolt	tuple_count            	8088
2015-03-03 22:53:51,058 33239    1425423231	ip-10-14-9-243.eu-west-1.compute.internal:6700	 74:support-vector-maschine-bolt	tuple_count            	8095
2015-03-03 22:53:51,098 33279    1425423231	ip-10-14-9-243.eu-west-1.compute.internal:6700	 81:support-vector-maschine-bolt	tuple_count            	8095
2015-03-03 22:53:51,118 33299    1425423231	ip-10-14-9-243.eu-west-1.compute.internal:6700	 88:support-vector-maschine-bolt	tuple_count            	8083
2015-03-03 22:53:51,359 33540    1425423231	ip-10-8-131-168.eu-west-1.compute.internal:6700	 91:support-vector-maschine-bolt	tuple_count            	8266
2015-03-03 22:53:51,395 33576    1425423231	ip-10-8-131-168.eu-west-1.compute.internal:6700	 84:support-vector-maschine-bolt	tuple_count            	8281
2015-03-03 22:53:51,397 33578    1425423231	ip-10-8-131-168.eu-west-1.compute.internal:6700	 77:support-vector-maschine-bolt	tuple_count            	8284
2015-03-03 22:54:00,192 42373    1425423240	ip-10-86-134-59.eu-west-1.compute.internal:6700	 83:support-vector-maschine-bolt	tuple_count            	9254
2015-03-03 22:54:00,275 42456    1425423240	ip-10-86-134-59.eu-west-1.compute.internal:6700	 90:support-vector-maschine-bolt	tuple_count            	9261
2015-03-03 22:54:00,294 42475    1425423240	ip-10-86-134-59.eu-west-1.compute.internal:6700	 76:support-vector-maschine-bolt	tuple_count            	9262
2015-03-03 22:54:00,374 42555    1425423240	ip-10-86-5-21.eu-west-1.compute.internal:6700	 89:support-vector-maschine-bolt	tuple_count            	9266
2015-03-03 22:54:00,376 42557    1425423240	ip-10-86-5-21.eu-west-1.compute.internal:6700	 75:support-vector-maschine-bolt	tuple_count            	9262
2015-03-03 22:54:00,380 42561    1425423240	ip-10-86-5-21.eu-west-1.compute.internal:6700	 82:support-vector-maschine-bolt	tuple_count            	9265
2015-03-03 22:54:00,433 42614    1425423240	ip-10-100-132-104.eu-west-1.compute.internal:6700	 73:support-vector-maschine-bolt	tuple_count            	9258
2015-03-03 22:54:00,441 42622    1425423240	ip-10-100-132-104.eu-west-1.compute.internal:6700	 80:support-vector-maschine-bolt	tuple_count            	9259
2015-03-03 22:54:00,451 42632    1425423240	ip-10-100-132-104.eu-west-1.compute.internal:6700	 87:support-vector-maschine-bolt	tuple_count            	9261
2015-03-03 22:54:00,481 42662    1425423240	ip-10-12-134-45.eu-west-1.compute.internal:6700	 79:support-vector-maschine-bolt	tuple_count            	9260
2015-03-03 22:54:00,489 42670    1425423240	ip-10-12-134-45.eu-west-1.compute.internal:6700	 86:support-vector-maschine-bolt	tuple_count            	9261
2015-03-03 22:54:00,571 42752    1425423240	ip-10-12-134-45.eu-west-1.compute.internal:6700	 72:support-vector-maschine-bolt	tuple_count            	9261
2015-03-03 22:54:01,007 43188    1425423241	ip-10-14-9-243.eu-west-1.compute.internal:6700	 88:support-vector-maschine-bolt	tuple_count            	9254
2015-03-03 22:54:01,015 43196    1425423241	ip-10-14-66-119.eu-west-1.compute.internal:6700	 78:support-vector-maschine-bolt	tuple_count            	9250
2015-03-03 22:54:01,024 43205    1425423241	ip-10-14-66-119.eu-west-1.compute.internal:6700	 92:support-vector-maschine-bolt	tuple_count            	9257
2015-03-03 22:54:01,034 43215    1425423241	ip-10-14-66-119.eu-west-1.compute.internal:6700	 85:support-vector-maschine-bolt	tuple_count            	9253
2015-03-03 22:54:01,058 43239    1425423241	ip-10-14-9-243.eu-west-1.compute.internal:6700	 74:support-vector-maschine-bolt	tuple_count            	9259
2015-03-03 22:54:01,066 43247    1425423241	ip-10-14-9-243.eu-west-1.compute.internal:6700	 81:support-vector-maschine-bolt	tuple_count            	9257
2015-03-03 22:54:01,363 43544    1425423241	ip-10-8-131-168.eu-west-1.compute.internal:6700	 91:support-vector-maschine-bolt	tuple_count            	9262
2015-03-03 22:54:01,396 43577    1425423241	ip-10-8-131-168.eu-west-1.compute.internal:6700	 77:support-vector-maschine-bolt	tuple_count            	9258
2015-03-03 22:54:01,396 43577    1425423241	ip-10-8-131-168.eu-west-1.compute.internal:6700	 84:support-vector-maschine-bolt	tuple_count            	9259
2015-03-03 22:54:10,187 52368    1425423250	ip-10-86-134-59.eu-west-1.compute.internal:6700	 83:support-vector-maschine-bolt	tuple_count            	9246
2015-03-03 22:54:10,267 52448    1425423250	ip-10-86-134-59.eu-west-1.compute.internal:6700	 90:support-vector-maschine-bolt	tuple_count            	9244
2015-03-03 22:54:10,272 52453    1425423250	ip-10-86-134-59.eu-west-1.compute.internal:6700	 76:support-vector-maschine-bolt	tuple_count            	9244
2015-03-03 22:54:10,370 52551    1425423250	ip-10-86-5-21.eu-west-1.compute.internal:6700	 75:support-vector-maschine-bolt	tuple_count            	9240
2015-03-03 22:54:10,370 52551    1425423250	ip-10-86-5-21.eu-west-1.compute.internal:6700	 89:support-vector-maschine-bolt	tuple_count            	9241
2015-03-03 22:54:10,370 52551    1425423250	ip-10-86-5-21.eu-west-1.compute.internal:6700	 82:support-vector-maschine-bolt	tuple_count            	9240
2015-03-03 22:54:10,420 52601    1425423250	ip-10-12-134-45.eu-west-1.compute.internal:6700	 86:support-vector-maschine-bolt	tuple_count            	9253
2015-03-03 22:54:10,429 52610    1425423250	ip-10-100-132-104.eu-west-1.compute.internal:6700	 73:support-vector-maschine-bolt	tuple_count            	9244
2015-03-03 22:54:10,429 52610    1425423250	ip-10-100-132-104.eu-west-1.compute.internal:6700	 87:support-vector-maschine-bolt	tuple_count            	9242
2015-03-03 22:54:10,440 52621    1425423250	ip-10-100-132-104.eu-west-1.compute.internal:6700	 80:support-vector-maschine-bolt	tuple_count            	9244
