Threads,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10
1,140703,142308,141070,141603,141133,140790,141167,140454,141088,138956
2,32458,32542,32399,32637,32165,32343,32964,32886,32445,32321
3,22433,22810,22737,22516,22237,22292,22567,22429,22583,22296
4,18675,18555,18310,18778,18389,18268,18047,18899,18619,18257
5,16037,16421,16508,16276,16657,16483,16253,16181,16386,16548
6,15058,15045,15317,14693,14652,14717,14704,14460,14955,15008
7,13746,13727,13853,13749,13997,13292,13660,13795,13760,13684
8,13197,13059,12752,13263,13453,12985,12952,12839,13258,13317
9,12537,12476,12553,12522,12781,12226,12358,12671,12342,12242
10,12756,12751,12772,12873,12985,12394,13039,12477,12744,12488
11,12186,11837,11932,12170,12108,11869,11971,12214,11892,11678
12,11861,12092,12012,12255,11979,12204,11410,11827,12222,12234
13,11917,11557,11608,11707,11311,11405,12230,11901,12141,11656
14,11505,11276,11606,11268,11998,11601,12086,11313,11441,11559
15,11126,11588,11253,11842,11270,11377,11749,11368,11661,11226
16,11183,11428,11270,11107,10765,10842,11064,11079,11438,10714
17,10966,11417,10894,10799,11038,10568,10785,10977,11025,10991
18,10868,10990,11213,10669,10881,10659,10957,10495,10666,10720
19,11147,10817,10391,10534,10931,10962,10654,10545,10718,10546
20,10773,10597,10322,10515,10941,10530,11045,10418,10838,10691
21,10769,10469,10179,10610,10368,10333,10204,10682,10258,10411
22,10750,10125,10223,10328,10086,10338,10597,10114,9849,10327
23,10155,10275,10197,10179,10158,9930,10089,10223,10240,10101
24,10316,10306,10129,10526,10110,10575,10123,10342,10091,9994
25,10179,10253,10381,10286,10568,10206,9993,10174,10597,10319
26,10477,10075,10161,10397,9857,10318,10478,9965,10160,10206
27,10084,10077,10238,10137,9946,10286,10114,10294,10261,9997
28,10162,10026,10097,10316,10435,10280,10282,10570,9909,10220
29,10270,10260,10159,10060,10437,10318,9886,10252,10226,9917
30,10322,10040,10233,9918,9993,10221,10148,10132,10453,9871
31,10242,10135,10721,10149,10008,10035,10155,9907,10241,10049
32,10336,10254,9994,10324,10207,10117,10145,10211,10384,9890
