Threads,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10
1,140703,142308,141070,141603,141133,140790,141167,140454,141088,138956
2,32458,32542,32399,32637,32165,32343,32964,32886,32445,32321
3,22433,22810,22737,22516,22237,22292,22567,22429,22583,22296
4,18675,18555,18310,18778,18389,18268,18047,18899,18619,18257
5,16037,16421,16508,16276,16657,16483,16253,16181,16386,16548
6,15058,15045,15317,14693,14652,14717,14704,14460,14955,15008
7,13746,13727,13853,13749,13997,13292,13660,13795,13760,13684
8,13197,13059,12752,13263,13453,12985,12952,12839,13258,13317
10,12756,12751,12772,12873,12985,12394,12394,12477,12744,12488
12,11861,12092,12012,12255,11979,12204,11410,11827,12222,12234
14,11505,11276,11606,11268,11998,11601,12086,11313,11441,11559
16,11183,11428,11270,11107,10765,10842,11064,11079,11438,10714
18,10868,10990,11213,10669,10881,10659,10957,10495,10666,10720
20,10773,10597,10322,10515,10941,10530,11045,10418,10838,10691
22,10750,10125,10223,10328,10086,10338,10597,10114,9849,10327
24,10316,10306,10129,10526,10110,10575,10123,10342,10091,9994
26,10477,10075,10161,10397,9857,10318,10478,9965,10160,10206
28,10162,10026,10097,10316,10435,10280,10282,10570,9909,10220
30,10322,10040,10233,9918,9993,10221,10148,10132,10453,9871
32,10336,10254,9994,10324,10207,10117,10145,10211,10384,9890
