Threads,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10
1,184029,185225,185428,185610,183499,185679,186014,184269,186473,183308
2,54847,53979,54460,55080,54780,55116,54225,54725,54968,54612
3,36828,37489,36935,36393,37067,36864,38527,38223,36875,37680
4,29588,30028,28828,29785,28887,28979,29255,29735,28899,28541
5,25169,25471,25399,25149,25631,24730,25139,25730,24935,25614
6,22073,21635,21694,21821,22104,21553,21761,22077,22049,21673
7,19799,19695,19556,19939,19817,19949,19994,19487,19811,19728
8,18440,18012,18288,18091,18488,18333,17960,18126,18655,18201
10,17147,16562,16820,16843,16970,16838,16731,16729,16574,16880
12,15693,16043,15932,15977,15552,15998,15469,15954,15365,16253
14,15449,15101,14954,14749,15428,14714,15290,15560,15587,14687
16,14429,14328,14730,14353,13901,14561,13747,14657,14266,14994
18,12929,13898,13451,13207,13756,13452,13789,13625,13671,13586
20,12943,13101,12871,12819,12518,12862,13513,13526,13468,12989
22,12645,12024,12784,12487,12574,13466,12578,12467,12412,12674
24,12567,12778,12372,12288,12539,12302,12329,12212,12443,12210
26,11935,12044,12338,12402,11959,12025,12326,12757,12055,12370
28,12372,12381,11952,12161,12118,11885,11784,12268,12543,11899
30,12084,12573,12241,11960,11818,12124,12033,11686,12564,12118
32,12010,11871,12713,12006,11650,11887,11852,11771,12214,11724
