i;j;C;gamma;accuracy;time_ms
1.0;2.0;0.125;4.8828125E-4;0.6461078896503251;5074204.0
6.0;0.0;128.0;3.0517578125E-5;0.6570901423299947;3951091.0
9.0;8.0;8192.0;2.0;0.4731154454401687;4843247.0
7.0;3.0;512.0;0.001953125;0.6924090669478123;7252750.0
0.0;3.0;0.03125;0.001953125;0.6417149885784572;5255452.0
4.0;9.0;8.0;8.0;0.47320330346160605;4905031.0
9.0;7.0;8192.0;0.5;0.5057107713934282;4801801.0
5.0;9.0;32.0;8.0;0.4731154454401687;4907240.0
7.0;5.0;512.0;0.03125;0.6425935687928308;5193944.0
4.0;7.0;8.0;0.5;0.506150061500615;4925471.0
2.0;2.0;0.5;4.8828125E-4;0.6535758214725005;4457426.0
10.0;0.0;32768.0;3.0517578125E-5;0.6923212089263749;8746610.0
0.0;9.0;0.03125;8.0;0.46924969249692494;5752643.0
9.0;9.0;8192.0;8.0;0.47302758741873135;5089132.0
0.0;0.0;0.03125;3.0517578125E-5;0.46924969249692494;6377008.0
8.0;3.0;2048.0;0.001953125;0.6808118081180812;7944058.0
8.0;9.0;2048.0;8.0;0.47302758741873135;5127896.0
1.0;5.0;0.125;0.03125;0.6512915129151291;4694164.0
5.0;0.0;32.0;3.0517578125E-5;0.658144438587243;4158345.0
6.0;9.0;128.0;8.0;0.47337901950448075;5210294.0
9.0;4.0;8192.0;0.0078125;0.6724652960815323;6578157.0
5.0;8.0;32.0;2.0;0.47276401335441925;5074361.0
3.0;9.0;2.0;8.0;0.47302758741873135;5115194.0
3.0;2.0;2.0;4.8828125E-4;0.6568265682656826;4159018.0
6.0;3.0;128.0;0.001953125;0.7001405728342998;4474085.0
9.0;1.0;8192.0;1.220703125E-4;0.6902126164118784;7251358.0
5.0;5.0;32.0;0.03125;0.640924266385521;5013352.0
3.0;0.0;2.0;3.0517578125E-5;0.6471621859075734;4909308.0
2.0;3.0;0.5;0.001953125;0.6564751361799332;4070708.0
9.0;0.0;8192.0;3.0517578125E-5;0.7039184677561061;4945094.0
7.0;6.0;512.0;0.125;0.62001405728343;4802206.0
1.0;7.0;0.125;0.5;0.46924969249692494;5694586.0
8.0;1.0;2048.0;1.220703125E-4;0.7059392022491654;4758487.0
8.0;4.0;2048.0;0.0078125;0.6683359690739764;6507124.0
9.0;2.0;8192.0;4.8828125E-4;0.6772096292391495;8704860.0
2.0;4.0;0.5;0.0078125;0.6611316113161132;4010563.0
1.0;9.0;0.125;8.0;0.46924969249692494;5714811.0
6.0;6.0;128.0;0.125;0.622474081883676;4710326.0
2.0;7.0;0.5;0.5;0.4768054823405377;5676667.0
6.0;7.0;128.0;0.5;0.50465647513618;4748139.0
8.0;0.0;2048.0;3.0517578125E-5;0.6903883324547532;3918857.0
2.0;8.0;0.5;2.0;0.47030398875417323;5644472.0
1.0;6.0;0.125;0.125;0.6208047794763661;5650360.0
5.0;3.0;32.0;0.001953125;0.6897733263046916;3666926.0
2.0;6.0;0.5;0.125;0.6328413284132841;5142165.0
0.0;6.0;0.03125;0.125;0.5394482516253734;5951267.0
5.0;7.0;32.0;0.5;0.5030750307503075;4666747.0
7.0;9.0;512.0;8.0;0.4728518713758566;4801700.0
9.0;5.0;8192.0;0.03125;0.6365313653136532;4965458.0
7.0;0.0;512.0;3.0517578125E-5;0.6728167281672817;3672993.0
4.0;1.0;8.0;1.220703125E-4;0.6572658583728694;3966868.0
10.0;4.0;32768.0;0.0078125;0.670444561588473;6312315.0
9.0;6.0;8192.0;0.125;0.620980495519241;4492106.0
1.0;8.0;0.125;2.0;0.46924969249692494;5374264.0
10.0;1.0;32768.0;1.220703125E-4;0.6717624319100334;1.0563641E7
4.0;4.0;8.0;0.0078125;0.677824635389211;3555432.0
1.0;1.0;0.125;1.220703125E-4;0.6324898963275347;5487059.0
3.0;4.0;2.0;0.0078125;0.6685116851168512;3590616.0
2.0;0.0;0.5;3.0517578125E-5;0.6343349147777192;5509585.0
7.0;7.0;512.0;0.5;0.5041293270075557;4760297.0
3.0;8.0;2.0;2.0;0.4734668775259181;4877251.0
8.0;7.0;2048.0;0.5;0.506150061500615;4803110.0
0.0;4.0;0.03125;0.0078125;0.6471621859075734;4763829.0
0.0;8.0;0.03125;2.0;0.46924969249692494;5590231.0
10.0;2.0;32768.0;4.8828125E-4;0.6716745738885961;8895501.0
0.0;1.0;0.03125;1.220703125E-4;0.5799507995079951;6124957.0
5.0;6.0;32.0;0.125;0.6219469337550518;4582692.0
0.0;2.0;0.03125;4.8828125E-4;0.6302055877701634;5644957.0
1.0;4.0;0.125;0.0078125;0.6525215252152522;4170307.0
10.0;9.0;32768.0;8.0;0.47337901950448075;4892171.0
3.0;1.0;2.0;1.220703125E-4;0.6548058337726235;4270959.0
10.0;7.0;32768.0;0.5;0.5060622034791776;4708910.0
10.0;5.0;32768.0;0.03125;0.6267791249341065;5112886.0
10.0;3.0;32768.0;0.001953125;0.6772096292391495;7607247.0
5.0;1.0;32.0;1.220703125E-4;0.6577930065014936;3792563.0
8.0;2.0;2048.0;4.8828125E-4;0.6923212089263749;6933831.0
7.0;2.0;512.0;4.8828125E-4;0.7045334739061676;4451117.0
4.0;3.0;8.0;0.001953125;0.6724652960815323;3674585.0
6.0;2.0;128.0;4.8828125E-4;0.6911790546476894;3750980.0
10.0;6.0;32768.0;0.125;0.6211562115621156;4714216.0
4.0;5.0;8.0;0.03125;0.6464593217360745;4973120.0
1.0;3.0;0.125;0.001953125;0.6505886487436303;4457831.0
4.0;6.0;8.0;0.125;0.622474081883676;4673057.0
3.0;5.0;2.0;0.03125;0.6561237040941837;4075371.0
3.0;3.0;2.0;0.001953125;0.659374450887366;3889036.0
2.0;9.0;0.5;8.0;0.4700404146898612;5671323.0
4.0;8.0;8.0;2.0;0.47320330346160605;4813881.0
10.0;8.0;32768.0;2.0;0.47337901950448075;4819650.0
6.0;1.0;128.0;1.220703125E-4;0.6733438762959059;3771486.0
6.0;4.0;128.0;0.0078125;0.6742224565102793;6503530.0
6.0;8.0;128.0;2.0;0.4737304515902302;4788364.0
4.0;2.0;8.0;4.8828125E-4;0.6589351607801792;3920427.0
4.0;0.0;8.0;3.0517578125E-5;0.653224389386751;4403288.0
8.0;8.0;2048.0;2.0;0.4737304515902302;4728171.0
0.0;7.0;0.03125;0.5;0.46924969249692494;5549856.0
3.0;6.0;2.0;0.125;0.6210683535406782;4544802.0
0.0;5.0;0.03125;0.03125;0.639694254085398;5108154.0
6.0;5.0;128.0;0.03125;0.6417149885784572;4953168.0
1.0;0.0;0.125;3.0517578125E-5;0.5819715340010543;6002416.0
8.0;6.0;2048.0;0.125;0.6236162361623616;4438984.0
2.0;5.0;0.5;0.03125;0.6562115621156211;3996362.0
2.0;1.0;0.5;1.220703125E-4;0.6468986118432613;4706950.0
7.0;4.0;512.0;0.0078125;0.6710595677385345;6003405.0
3.0;7.0;2.0;0.5;0.5037778949218064;4630718.0
5.0;4.0;32.0;0.0078125;0.6843261289755754;4166094.0
8.0;5.0;2048.0;0.03125;0.6402214022140221;4729253.0
5.0;2.0;32.0;4.8828125E-4;0.6717624319100334;3647841.0
7.0;1.0;512.0;1.220703125E-4;0.6903883324547532;3588721.0
7.0;8.0;512.0;2.0;0.4735547355473555;3818924.0
9.0;3.0;8192.0;0.001953125;0.6770339131962748;4493211.0

