2015-02-26 22:40:48,479 13021    1424990448	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	0
2015-02-26 22:40:58,920 23462    1424990458	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	0
2015-02-26 22:41:08,920 33462    1424990468	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	9672
2015-02-26 22:41:18,920 43462    1424990478	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10161
2015-02-26 22:41:28,920 53462    1424990488	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10325
2015-02-26 22:41:38,920 63462    1424990498	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10508
2015-02-26 22:41:48,921 73463    1424990508	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10445
2015-02-26 22:41:58,920 83462    1424990518	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10397
2015-02-26 22:42:08,921 93463    1424990528	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10383
2015-02-26 22:42:18,921 103463   1424990538	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10551
2015-02-26 22:42:28,921 113463   1424990548	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10305
2015-02-26 22:42:38,922 123464   1424990558	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10652
2015-02-26 22:42:48,923 133465   1424990568	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10264
2015-02-26 22:42:58,923 143465   1424990578	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10378
2015-02-26 22:43:08,922 153464   1424990588	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10329
2015-02-26 22:43:18,923 163465   1424990598	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10318
2015-02-26 22:43:28,923 173465   1424990608	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10434
2015-02-26 22:43:38,922 183464   1424990618	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10325
2015-02-26 22:43:48,922 193464   1424990628	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10527
2015-02-26 22:43:58,923 203465   1424990638	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10461
2015-02-26 22:44:08,922 213464   1424990648	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10608
2015-02-26 22:44:18,923 223465   1424990658	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10212
2015-02-26 22:44:28,923 233465   1424990668	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10474
2015-02-26 22:44:38,923 243465   1424990678	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10390
2015-02-26 22:44:48,923 253465   1424990688	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10275
2015-02-26 22:44:58,922 263464   1424990698	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10250
2015-02-26 22:45:08,923 273465   1424990708	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10378
2015-02-26 22:45:18,923 283465   1424990718	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10472
2015-02-26 22:45:28,923 293465   1424990728	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10368
2015-02-26 22:45:38,924 303466   1424990738	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10472
2015-02-26 22:45:48,925 313467   1424990748	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10311
2015-02-26 22:45:58,925 323467   1424990758	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10396
2015-02-26 22:46:08,926 333468   1424990768	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10139
2015-02-26 22:46:18,927 343469   1424990778	ip-10-194-135-199.eu-west-1.compute.internal:6700	  7:support-vector-maschine-bolt	tuple_count            	10795
