2015-02-26 23:00:48,073 12910    1424991648	ip-10-194-135-199.eu-west-1.compute.internal:6700	 11:support-vector-maschine-bolt	tuple_count            	0
2015-02-26 23:00:48,122 12959    1424991648	ip-10-193-16-139.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	0
2015-02-26 23:00:58,374 23211    1424991658	ip-10-193-16-139.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	0
2015-02-26 23:00:58,374 23211    1424991658	ip-10-194-135-199.eu-west-1.compute.internal:6700	 11:support-vector-maschine-bolt	tuple_count            	0
2015-02-26 23:01:08,104 32941    1424991668	ip-10-193-16-139.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	2096
2015-02-26 23:01:08,374 33211    1424991668	ip-10-194-135-199.eu-west-1.compute.internal:6700	 11:support-vector-maschine-bolt	tuple_count            	2152
2015-02-26 23:01:18,105 42942    1424991678	ip-10-193-16-139.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	2314
2015-02-26 23:01:18,390 43227    1424991678	ip-10-194-135-199.eu-west-1.compute.internal:6700	 11:support-vector-maschine-bolt	tuple_count            	2300
2015-02-26 23:01:28,254 53091    1424991688	ip-10-193-16-139.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	2377
2015-02-26 23:01:28,571 53408    1424991688	ip-10-194-135-199.eu-west-1.compute.internal:6700	 11:support-vector-maschine-bolt	tuple_count            	2409
2015-02-26 23:01:38,320 63157    1424991698	ip-10-193-16-139.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	2258
2015-02-26 23:01:38,653 63490    1424991698	ip-10-194-135-199.eu-west-1.compute.internal:6700	 11:support-vector-maschine-bolt	tuple_count            	2258
2015-02-26 23:01:48,295 73132    1424991708	ip-10-193-16-139.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	2329
2015-02-26 23:01:48,653 73490    1424991708	ip-10-194-135-199.eu-west-1.compute.internal:6700	 11:support-vector-maschine-bolt	tuple_count            	2385
2015-02-26 23:01:58,332 83169    1424991718	ip-10-193-16-139.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	2401
2015-02-26 23:01:58,671 83508    1424991718	ip-10-194-135-199.eu-west-1.compute.internal:6700	 11:support-vector-maschine-bolt	tuple_count            	2345
2015-02-26 23:02:08,256 93093    1424991728	ip-10-193-16-139.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	2318
