2015-02-26 23:09:06,214 12983    1424992146	ip-10-194-135-199.eu-west-1.compute.internal:6700	 21:support-vector-maschine-bolt	tuple_count            	0
2015-02-26 23:09:06,440 13209    1424992146	ip-10-193-16-139.eu-west-1.compute.internal:6700	 22:support-vector-maschine-bolt	tuple_count            	0
2015-02-26 23:09:06,660 13429    1424992146	ip-10-195-134-240.eu-west-1.compute.internal:6700	 20:support-vector-maschine-bolt	tuple_count            	0
2015-02-26 23:09:07,064 13833    1424992147	ip-10-99-2-204.eu-west-1.compute.internal:6700	 19:support-vector-maschine-bolt	tuple_count            	0
2015-02-26 23:09:16,212 22981    1424992156	ip-10-194-135-199.eu-west-1.compute.internal:6700	 21:support-vector-maschine-bolt	tuple_count            	0
2015-02-26 23:09:16,744 23513    1424992156	ip-10-193-16-139.eu-west-1.compute.internal:6700	 22:support-vector-maschine-bolt	tuple_count            	0
2015-02-26 23:09:16,892 23661    1424992156	ip-10-195-134-240.eu-west-1.compute.internal:6700	 20:support-vector-maschine-bolt	tuple_count            	6
2015-02-26 23:09:17,053 23822    1424992157	ip-10-99-2-204.eu-west-1.compute.internal:6700	 19:support-vector-maschine-bolt	tuple_count            	59
2015-02-26 23:09:26,212 32981    1424992166	ip-10-194-135-199.eu-west-1.compute.internal:6700	 21:support-vector-maschine-bolt	tuple_count            	1840
2015-02-26 23:09:26,635 33404    1424992166	ip-10-193-16-139.eu-west-1.compute.internal:6700	 22:support-vector-maschine-bolt	tuple_count            	1913
2015-02-26 23:09:26,897 33666    1424992166	ip-10-195-134-240.eu-west-1.compute.internal:6700	 20:support-vector-maschine-bolt	tuple_count            	1962
2015-02-26 23:09:27,054 33823    1424992167	ip-10-99-2-204.eu-west-1.compute.internal:6700	 19:support-vector-maschine-bolt	tuple_count            	1998
2015-02-26 23:09:36,212 42981    1424992176	ip-10-194-135-199.eu-west-1.compute.internal:6700	 21:support-vector-maschine-bolt	tuple_count            	2230
2015-02-26 23:09:36,794 43563    1424992176	ip-10-193-16-139.eu-west-1.compute.internal:6700	 22:support-vector-maschine-bolt	tuple_count            	2228
2015-02-26 23:09:37,050 43819    1424992176	ip-10-195-134-240.eu-west-1.compute.internal:6700	 20:support-vector-maschine-bolt	tuple_count            	2233
2015-02-26 23:09:37,055 43824    1424992177	ip-10-99-2-204.eu-west-1.compute.internal:6700	 19:support-vector-maschine-bolt	tuple_count            	2167
2015-02-26 23:09:46,212 52981    1424992186	ip-10-194-135-199.eu-west-1.compute.internal:6700	 21:support-vector-maschine-bolt	tuple_count            	2163
2015-02-26 23:09:46,793 53562    1424992186	ip-10-193-16-139.eu-west-1.compute.internal:6700	 22:support-vector-maschine-bolt	tuple_count            	2225
2015-02-26 23:09:47,049 53818    1424992186	ip-10-195-134-240.eu-west-1.compute.internal:6700	 20:support-vector-maschine-bolt	tuple_count            	2187
2015-02-26 23:09:47,054 53823    1424992187	ip-10-99-2-204.eu-west-1.compute.internal:6700	 19:support-vector-maschine-bolt	tuple_count            	2165
2015-02-26 23:09:56,212 62981    1424992196	ip-10-194-135-199.eu-west-1.compute.internal:6700	 21:support-vector-maschine-bolt	tuple_count            	1940
2015-02-26 23:09:56,868 63637    1424992196	ip-10-193-16-139.eu-west-1.compute.internal:6700	 22:support-vector-maschine-bolt	tuple_count            	1948
2015-02-26 23:09:57,055 63824    1424992197	ip-10-99-2-204.eu-west-1.compute.internal:6700	 19:support-vector-maschine-bolt	tuple_count            	2002
2015-02-26 23:09:57,210 63979    1424992197	ip-10-195-134-240.eu-west-1.compute.internal:6700	 20:support-vector-maschine-bolt	tuple_count            	1990
2015-02-26 23:10:06,212 72981    1424992206	ip-10-194-135-199.eu-west-1.compute.internal:6700	 21:support-vector-maschine-bolt	tuple_count            	1931
2015-02-26 23:10:07,032 73801    1424992207	ip-10-193-16-139.eu-west-1.compute.internal:6700	 22:support-vector-maschine-bolt	tuple_count            	1874
2015-02-26 23:10:07,055 73824    1424992207	ip-10-99-2-204.eu-west-1.compute.internal:6700	 19:support-vector-maschine-bolt	tuple_count            	1840
2015-02-26 23:10:07,308 74077    1424992207	ip-10-195-134-240.eu-west-1.compute.internal:6700	 20:support-vector-maschine-bolt	tuple_count            	1849
2015-02-26 23:10:16,213 82982    1424992216	ip-10-194-135-199.eu-west-1.compute.internal:6700	 21:support-vector-maschine-bolt	tuple_count            	1988
2015-02-26 23:10:17,055 83824    1424992217	ip-10-99-2-204.eu-west-1.compute.internal:6700	 19:support-vector-maschine-bolt	tuple_count            	2006
2015-02-26 23:10:17,121 83890    1424992217	ip-10-193-16-139.eu-west-1.compute.internal:6700	 22:support-vector-maschine-bolt	tuple_count            	2044
2015-02-26 23:10:17,471 84240    1424992217	ip-10-195-134-240.eu-west-1.compute.internal:6700	 20:support-vector-maschine-bolt	tuple_count            	2076
