i;j;C;gamma;accuracy;time_ms
9.0;2.0;8192.0;4.8828125E-4;0.6707836014530358;112066.0
3.0;0.0;2.0;3.0517578125E-5;0.6270887389724961;97140.0
3.0;4.0;2.0;0.0078125;0.6502335236118318;82261.0
6.0;6.0;128.0;0.125;0.6730669434353918;202945.0
1.0;6.0;0.125;0.125;0.6553191489361702;81643.0
2.0;5.0;0.5;0.03125;0.6528282304099636;82152.0
4.0;6.0;8.0;0.125;0.6730669434353918;84121.0
1.0;1.0;0.125;1.220703125E-4;0.623248572911261;95151.0
9.0;4.0;8192.0;0.0078125;0.6737934613388687;518170.0
0.0;0.0;0.03125;3.0517578125E-5;0.6337311883757135;92767.0
4.0;5.0;8.0;0.03125;0.6705760249091852;76605.0
0.0;2.0;0.03125;4.8828125E-4;0.6342501297353399;95375.0
2.0;1.0;0.5;1.220703125E-4;0.6354955889984432;100559.0
3.0;1.0;2.0;1.220703125E-4;0.6424494032174364;92050.0
8.0;5.0;2048.0;0.03125;0.672755578619616;502702.0
2.0;0.0;0.5;3.0517578125E-5;0.6278152568759731;95032.0
1.0;3.0;0.125;0.001953125;0.6559418785677218;93389.0
7.0;7.0;512.0;0.5;0.665905552672548;947437.0
1.0;2.0;0.125;4.8828125E-4;0.6249091852620654;96229.0
3.0;7.0;2.0;0.5;0.670057083549559;84825.0
9.0;3.0;8192.0;0.001953125;0.675454073689673;213555.0
7.0;5.0;512.0;0.03125;0.6758692267773742;239549.0
3.0;5.0;2.0;0.03125;0.6596782563570317;79879.0
1.0;4.0;0.125;0.0078125;0.6156720290607162;93397.0
0.0;8.0;0.03125;2.0;0.6491956408925791;86493.0
2.0;3.0;0.5;0.001953125;0.6186818889465491;90084.0
5.0;2.0;32.0;4.8828125E-4;0.644940321743643;83861.0
4.0;7.0;8.0;0.5;0.6737934613388687;99261.0
8.0;4.0;2048.0;0.0078125;0.6733783082511676;231896.0
0.0;3.0;0.03125;0.001953125;0.625531914893617;96028.0
6.0;0.0;128.0;3.0517578125E-5;0.6190970420342501;86089.0
5.0;4.0;32.0;0.0078125;0.6692267773741567;82345.0
2.0;8.0;0.5;2.0;0.6661131292163985;80540.0
7.0;1.0;512.0;1.220703125E-4;0.659782044628957;83361.0
6.0;5.0;128.0;0.03125;0.6752464971458225;131426.0
9.0;7.0;8192.0;0.5;0.6483653347171769;4931294.0
4.0;1.0;8.0;1.220703125E-4;0.6186818889465491;90379.0
8.0;7.0;2048.0;0.5;0.6585365853658537;2406079.0
8.0;1.0;2048.0;1.220703125E-4;0.6639335755059679;85245.0
0.0;5.0;0.03125;0.03125;0.6112091333679294;90473.0
5.0;8.0;32.0;2.0;0.6656979761286974;240007.0
5.0;5.0;32.0;0.03125;0.6736896730669434;86665.0
3.0;6.0;2.0;0.125;0.6707836014530358;79258.0
7.0;6.0;512.0;0.125;0.6696419304618578;504102.0
9.0;5.0;8192.0;0.03125;0.6685002594706798;1467085.0
6.0;3.0;128.0;0.001953125;0.6650752464971458;81884.0
4.0;4.0;8.0;0.0078125;0.6590555267254801;81642.0
7.0;2.0;512.0;4.8828125E-4;0.6641411520498184;83217.0
6.0;4.0;128.0;0.0078125;0.6722366372599896;85551.0
7.0;4.0;512.0;0.0078125;0.6718214841722885;128428.0
5.0;0.0;32.0;3.0517578125E-5;0.6192008303061755;91241.0
5.0;3.0;32.0;0.001953125;0.6592631032693306;81334.0
0.0;7.0;0.03125;0.5;0.6412039439543331;85355.0
2.0;2.0;0.5;4.8828125E-4;0.6534509600415153;94696.0
4.0;0.0;8.0;3.0517578125E-5;0.651790347690711;95918.0
6.0;8.0;128.0;2.0;0.657913855734302;519309.0
3.0;8.0;2.0;2.0;0.6719252724442139;99512.0
1.0;0.0;0.125;3.0517578125E-5;0.6310326933056565;96281.0
8.0;0.0;2048.0;3.0517578125E-5;0.660923715620135;84633.0
7.0;0.0;512.0;3.0517578125E-5;0.6460819927348209;84113.0
9.0;8.0;8192.0;2.0;0.6218993253762325;5685860.0
2.0;7.0;0.5;0.5;0.6658017644006228;77775.0
5.0;1.0;32.0;1.220703125E-4;0.6171250648676699;86184.0
2.0;6.0;0.5;0.125;0.6592631032693306;79710.0
1.0;5.0;0.125;0.03125;0.6168137000518942;87236.0
5.0;6.0;32.0;0.125;0.6747275557861961;113535.0
0.0;4.0;0.03125;0.0078125;0.6551115723923197;95061.0
1.0;7.0;0.125;0.5;0.6554229372080955;79717.0
6.0;1.0;128.0;1.220703125E-4;0.6448365334717177;84987.0
4.0;8.0;8.0;2.0;0.6711987545407369;145171.0
9.0;6.0;8192.0;0.125;0.6665282823040997;2427535.0
8.0;3.0;2048.0;0.001953125;0.6710949662688116;114427.0
